Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2018,197869,Appalachian State University,NC,1,,1,NCAA,7211,9146,16357,7,Football,121,,,,121,0,13581,1643300,0,0,1643300,,,,,,9365952,,9365952,,,,9365952,0,9365952,9365952,,9365952,,,,9365952,0,9365952
2018,104151,Arizona State University-Tempe,AZ,1,,1,NCAA,21732,17473,39205,7,Football,117,,,,117,0,30918,3617364,0,0,3617364,,,,,,39007842,,39007842,,,,39007842,0,39007842,26245544,,26245544,,,,26245544,0,26245544
2018,106458,Arkansas State University-Main Campus,AR,1,,1,NCAA,2869,3889,6758,7,Football,116,,,,116,0,21329,2474147,0,0,2474147,,,,,,7789945,,7789945,,,,7789945,0,7789945,7789945,,7789945,,,,7789945,0,7789945
2018,100858,Auburn University,AL,1,,1,NCAA,11183,11053,22236,7,Football,122,,,,122,0,38814,4735365,0,0,4735365,,,,,,95157216,,95157216,,,,95157216,0,95157216,47846261,,47846261,,,,47846261,0,47846261
2018,150136,Ball State University,IN,1,,1,NCAA,5922,8662,14584,7,Football,121,,,,121,0,11822,1430517,0,0,1430517,,,,,,7135305,,7135305,,,,7135305,0,7135305,7135305,,7135305,,,,7135305,0,7135305
2018,223232,Baylor University,TX,1,,1,NCAA,5632,8327,13959,7,Football,118,,,,118,0,46272,5460039,0,0,5460039,,,,,,45580767,,45580767,,,,45580767,0,45580767,30995620,,30995620,,,,30995620,0,30995620
2018,142115,Boise State University,ID,1,,1,NCAA,5748,6998,12746,7,Football,113,,,,113,0,17819,2013509,0,0,2013509,,,,,,20281713,,20281713,,,,20281713,0,20281713,14600947,,14600947,,,,14600947,0,14600947
2018,164924,Boston College,MA,1,,1,NCAA,4508,5018,9526,7,Football,111,,,,111,0,46894,5205266,0,0,5205266,,,,,,32347820,,32347820,,,,32347820,0,32347820,24855252,,24855252,,,,24855252,0,24855252
2018,201441,Bowling Green State University-Main Campus,OH,1,,1,NCAA,5670,7236,12906,7,Football,108,,,,108,0,14701,1587756,0,0,1587756,,,,,,7750248,,7750248,,,,7750248,0,7750248,7750248,,7750248,,,,7750248,0,7750248
2018,230038,Brigham Young University-Provo,UT,1,,1,NCAA,14164,14089,28253,7,Football,125,,,,125,0,29571,3696436,0,0,3696436,,,,,,23171603,,23171603,,,,23171603,0,23171603,21180680,,21180680,,,,21180680,0,21180680
2018,110556,California State University-Fresno,CA,1,,1,NCAA,7828,11518,19346,7,Football,119,,,,119,0,17589,2093147,0,0,2093147,,,,,,16419529,,16419529,,,,16419529,0,16419529,16419529,,16419529,,,,16419529,0,16419529
2018,169248,Central Michigan University,MI,1,,1,NCAA,6047,8123,14170,7,Football,116,,,,116,0,11365,1318314,0,0,1318314,,,,,,8175068,,8175068,,,,8175068,0,8175068,8175068,,8175068,,,,8175068,0,8175068
2018,217882,Clemson University,SC,1,,1,NCAA,9613,9332,18945,7,Football,124,,,,124,0,99109,12289563,0,0,12289563,,,,,,61378516,,61378516,,,,61378516,0,61378516,55649888,,55649888,,,,55649888,0,55649888
2018,218724,Coastal Carolina University,SC,1,,1,NCAA,4121,4793,8914,7,Football,125,,,,125,0,10670,1333698,0,0,1333698,,,,,,9227648,,9227648,,,,9227648,0,9227648,9227648,,9227648,,,,9227648,0,9227648
2018,126818,Colorado State University-Fort Collins,CO,1,,1,NCAA,10540,11281,21821,7,Football,112,,,,112,0,35052,3925834,0,0,3925834,,,,,,24782902,,24782902,,,,24782902,0,24782902,24782902,,24782902,,,,24782902,0,24782902
2018,198419,Duke University,NC,1,,1,NCAA,3278,3300,6578,7,Football,116,,,,116,0,32543,3774976,0,0,3774976,,,,,,40328603,,40328603,,,,40328603,0,40328603,28806459,,28806459,,,,28806459,0,28806459
2018,198464,East Carolina University,NC,1,,1,NCAA,8478,11045,19523,7,Football,115,,,,115,0,20946,2408798,0,0,2408798,,,,,,14136043,,14136043,,,,14136043,0,14136043,14094264,,14094264,,,,14094264,0,14094264
2018,169798,Eastern Michigan University,MI,1,,1,NCAA,4516,6782,11298,7,Football,113,,,,113,0,15102,1706539,0,0,1706539,,,,,,8770408,,8770408,,,,8770408,0,8770408,8770408,,8770408,,,,8770408,0,8770408
2018,133669,Florida Atlantic University,FL,1,,1,NCAA,7004,8996,16000,7,Football,132,,,,132,0,12761,1684386,0,0,1684386,,,,,,11877533,,11877533,,,,11877533,0,11877533,11877533,,11877533,,,,11877533,0,11877533
2018,133951,Florida International University,FL,1,,1,NCAA,11715,15468,27183,7,Football,109,,,,109,0,18775,2046522,0,0,2046522,,,,,,14200561,,14200561,,,,14200561,0,14200561,11771431,,11771431,,,,11771431,0,11771431
2018,134097,Florida State University,FL,1,,1,NCAA,12263,16635,28898,7,Football,108,,,,108,0,59823,6460901,0,0,6460901,,,,,,68893857,,68893857,,,,68893857,0,68893857,68893857,,68893857,,,,68893857,0,68893857
2018,139755,Georgia Institute of Technology-Main Campus,GA,1,,1,NCAA,8654,5495,14149,7,Football,124,,,,124,0,26691,3309705,0,0,3309705,,,,,,42553892,,42553892,,,,42553892,0,42553892,29744089,,29744089,,,,29744089,0,29744089
2018,139931,Georgia Southern University,GA,1,,1,NCAA,8848,10482,19330,7,Football,127,,,,127,0,9152,1162348,0,0,1162348,,,,,,6123720,,6123720,,,,6123720,0,6123720,6123720,,6123720,,,,6123720,0,6123720
2018,139940,Georgia State University,GA,1,,1,NCAA,8556,12343,20899,7,Football,111,,,,111,0,12950,1437505,0,0,1437505,,,,,,8267631,,8267631,,,,8267631,0,8267631,8267631,,8267631,,,,8267631,0,8267631
2018,151351,Indiana University-Bloomington,IN,1,,1,NCAA,16111,15889,32000,7,Football,122,,,,122,0,31070,3790527,0,0,3790527,,,,,,52577443,,52577443,,,,52577443,0,52577443,24216483,,24216483,,,,24216483,0,24216483
2018,153603,Iowa State University,IA,1,,1,NCAA,15988,11844,27832,7,Football,139,,,,139,0,35024,4868399,0,0,4868399,,,,,,51931511,,51931511,,,,51931511,0,51931511,26960124,,26960124,,,,26960124,0,26960124
2018,155399,Kansas State University,KS,1,,1,NCAA,8619,7528,16147,7,Football,129,,,,129,0,28226,3641112,0,0,3641112,,,,,,46167900,,46167900,,,,46167900,0,46167900,20549475,,20549475,,,,20549475,0,20549475
2018,203517,Kent State University at Kent,OH,1,,1,NCAA,6976,11460,18436,7,Football,97,,,,97,0,17793,1725949,0,0,1725949,,,,,,6901879,,6901879,,,,6901879,0,6901879,6901879,,6901879,,,,6901879,0,6901879
